,product_name,user_rating,product_review
0,Carlton Cold,2.01,looks like beer smells and tastes like urine with a metallic taint to set your teeth on edge. in the worst rated list on ba and its place is well deserved. horrible! no longer abv 4.9% but reconfigured a few years ago into a 3.5% mid strength. i never tried the heavy version which a few members rate moderately.
1,Carlton Cold,2.23,september 2008: 375 ml clear bottle courtesy of cardinal pub & bar stavanger. abv is 4.6%. crystal clear pale golden colour fizzy with a big to moderate lasting white head. moderate fruity aroma notes of candy and citrus. zesty mouthfeel. the flavour is moderately sweet with some fruity notes minimal hops bland finish. not much to write home about here. far from undrinkable though.
2,Carlton Cold,1.02,i recently reviewed victoria bitter which i drank for old times sake by chance and it reminded me of one of the other beers i drank whilst in australia; carlton cold.  i wanted to review this beer because unlike vb which i liked at the time but recently gave a very poor review this beer i disliked even at the time so i wanted to see if it really is as bad as i remember.  my friend recently went to australia so i asked him ton grab me a bottle so i could review it.  poured most of a 355ml bottle into a 350ml beer glass.  poured a pale watery yellow with a very loose low head that disappeared almost immediately. no lacing.  nose was extremely disappointing. a faint hoppy aroma some other faint but unidentifiable aromas. maybe chemical. horrible.  palate. much the same as the nose; faintly hoppy and watery. no complexity or malt. horrible. probably worse than the nose.  mouth was watery with very loose medium to heavy artificial carbonation. horrible.  overall probably even worse than i remember. an almost unbelievably woeful attempt at brewing beer. breweries that churn out abominations like this shouldn\t be allowed to call it lager or beer. it should perhaps be called carlton cold - adjunct grain derivative  absolutely horrible. highly unrecommended.
3,Carlton Cold,2.95,carlton cold is filtered below zero degrees celsius creating a full flavoured fresh taste. the mid strength beer has subtle bitterness with a crisp dry finish providing an easy drinking experience.
4,Carlton Cold,1.62,format: a standard clear 355ml bottle with that old carlton cold macro label. i get the feeling that cub has dropped cold from being a full strength to a mid at 3.5% (as this bottle is) when they started their big advertising campaign a year or so ago. i used to drink cold at barbeques because i was a poor student. lets revisit it at 3.5% and see if it is any good.  appearance: poured out a light yellow in colour with a continual swirling cascade of carbonation. even with a fairly generous pour very little head pops up - just a light white cap and ring.  aroma: this has a smell? i got so close to try and smell it that i accidentally snorted some which was both embarrassing and a bit of a mistake. once it was clinging to my nose (and possibly my brain) i got wet cardboard and some cheap grains. great.  taste: a pretty damn awful cheap grain and corn adjunct dominates what little flavour this thing has. one of the rare few beers that actually makes me pull a weird face.  aftertaste: drops away quickly with just a touch of sweetness coming through from the grain.  mouth feel: light and watery in body with a mouth-filling carbonation. not great.  overall: for the sake of my many barbeque memories i will assume that the carton cold that i used to drink 10 years ago (the full strength 4.9%) was less bad than this 3.5% that you get now. this beer manages somehow to be both boring and taste bad. most of it was donated to the gods of the sink. its only au$40 a case but seriously just drink water or something. it certainly tastes better.
5,Carlton Cold,2.1,just a typical aussie macro lager. whilst the taste is not offensive and thankfully lacks the coin flavour that many others feature it is just so plain and unimaginative that i couldnt commend it in any way other that to say it does not make me recoil. basically water with a slight generic beer taste. ok for a knock-off beer after grafting on a stinking hot day
6,Carlton Cold,1.12,honestly and without hesitation i can say that i used to love this beer. when it was considered a heavy in the older style bottle and before the $5m relaunch. it had the crisp yet satisfying appeal but now that carlton have sucked the the living essence out the first beer i ever tried i will never be buying it again.  all i can say is good job to the dickhead who thought that that was a good idea.
7,Carlton Cold,1.28,this beers is crap when i open there is minimal fizz from the low carbonation in the beer its self. the aroma that comes out when first opened is putrid my fat chicks girlfriends shit smells and tastes and better than this and trust me i would know. give me a vb any day that shit is fucking holy water even better taken as a suppository.
8,Carlton Cold,1.57,this is the second of three australian beers my store has brought in and is surprisingly the most expensive one despite... on here anyway looking like the worst. i had to go for it though. my store to make any sort of decent margin sells this catastrophe for 4 canadian dollars per small 330ml bottle making it by far the biggest rip off in the entire store. nobody even gave it a chance as a $21 6-pack. i digress though.  the beer honestly looks pretty nice - it as a slightly darker shade of yellow than most adjunct lagers and has a copper-y colour to it that makes it resemble almost exactly the bottle of maple whiskey that is sitting on my table. not bad on that front.  the smell is also not bad. its got the standard adjunct smell but it has some kind of deep fruity smell that makes smelling it almost interesting and is not offensive especially considering the beer vatriety. smells good; looks good; what could go wrong?  well after the first sip i very well knew what went wrong. the taste of this beer is just bad bad bad. its a corny burst on the tongue with an explosion (no joke it felt that way) of sour aftertaste. going down the beer felt like straw... it was rough a term i dont even use much for heavy beers but that is what was going on. 1s for taste and feel for sure - i cant even finish more than 5cm of the glass it is just that putrid. do not want.
9,Vanilla Bean Assassin,4.86,12oz bottle…2022 version. drank 12/25/22. pours dark brown/black not much carbonation. smells of sweet chocolate vanilla and barrel. taste is marshmallows soaked in bourbon. perfect sweetness. if there is a knock it’s slightly on the thin side but that’s being picky. probably the best adjunct stout i’ve had. truly lives up to the hype.
